166267,172845,167214,152645,140625,120249,75060,36626,18758,14751,14665,19540,34727,69575,99818,98800,92942,91307,88901,75678,52196,40071,46621,75589,120584,147812,166631,175140,177523,173624,162515,151739
151605,163316,158840,140377,114928,101157,86925,65468,49410,41502,31912,26548,36392,77857,123296,129744,114634,90783,68390,57224,48489,41600,49408,67958,90783,117593,145873,159225,168739,175093,171228,162742
151313,166233,163310,138892,97723,74523,76458,84147,83451,74635,55391,33567,35497,83390,152774,173852,170095,151295,117352,96911,89154,75497,70230,83510,102656,128367,151757,158557,166318,176922,178903,170021
171614,175181,168896,139237,76992,47524,61627,88025,97744,92001,71118,43982,45927,95546,166203,189961,193197,189937,182748,179089,176789,152879,116165,115357,141879,166551,177197,177777,176350,181697,184182,172914
186680,177556,163317,129946,60136,33631,53566,85530,95692,88369,74021,52674,46312,80981,157458,193195,198530,198493,197791,198463,198359,191457,167802,153281,165375,182110,189190,190687,187464,185349,181259,163083
193789,182377,161646,115675,42670,22065,37614,72639,89294,84158,75293,54750,35341,50119,126247,188376,198782,199948,199991,200295,200246,197160,181813,156262,149875,168882,186212,191947,189200,181224,167034,139940
196300,189034,167971,103643,29906,12828,18186,41772,71012,73786,60965,38976,23985,30790,75429,152049,191607,198743,199759,199780,199198,195102,171437,122416,94737,124027,171415,186477,183506,167186,146146,114162
195764,190703,166115,87040,23407,9703,10000,19316,34966,39235,29956,20703,16642,22756,38998,83920,165367,194402,197785,196626,192451,180864,145140,87592,56064,79782,142555,171862,172260,156911,132860,88990
189915,186338,158062,86794,32945,13269,9414,10880,12882,13081,11278,9924,11906,18499,30495,62741,132102,179360,187794,176285,149821,127987,111062,83244,57415,65786,108770,144770,151150,133147,97180,50982
177454,169976,138678,95673,53727,23335,11167,7021,4890,4319,4180,5293,8605,16812,38131,73026,113583,149275,145409,97315,56571,51627,66840,79233,72825,66762,80055,108366,112632,87620,54440,26301
152854,131311,100097,83996,67100,37550,16692,7430,3671,2570,2324,3620,7520,20660,56341,86585,98186,117537,97758,47425,25522,23855,33663,54944,66426,59050,56660,68954,83871,75625,51091,24919
108850,81777,65990,73617,77499,60088,28649,9782,3822,2279,2458,4090,8983,28728,68850,84957,81076,95638,83332,47661,33080,27918,30409,45151,58416,57914,55888,62729,92337,100760,69367,35736
78746,59939,50956,67975,87304,79727,38793,12541,4988,3967,5712,9214,14591,32064,64725,85963,82786,81401,71501,54664,49570,42416,38088,46843,55727,66196,85569,102704,125460,129805,89677,52279
88356,62990,47192,61497,85044,82587,51516,22276,11486,12337,19061,24549,23210,28703,50784,84391,95636,79622,60090,49130,47438,44016,37503,41069,49450,70213,116111,144742,153100,148549,119119,95664
129254,81476,51314,53720,68815,74520,65157,45153,34096,37494,43477,37052,24756,23130,46759,101093,126933,109958,66343,40800,36140,36153,31040,29653,36466,59813,116114,152537,165127,165444,160462,156523
141629,78377,40531,36242,45469,58010,68394,70689,72644,73259,63617,44139,26717,23457,52451,116928,150797,141119,87475,45247,35302,32462,29304,26757,27239,40572,84484,133811,165333,179616,185921,188804
120604,48161,18919,14646,25220,49262,80462,100150,107959,116334,107451,71183,35738,27389,56022,121709,157398,152895,101121,52318,42077,40360,36419,34324,31366,30987,50381,94019,144736,176516,191210,196835
109700,38335,15186,13458,32576,82245,122445,138136,143237,158839,162877,132536,69578,47230,79771,142872,172478,165839,118700,68894,62605,74859,70124,62503,58407,40062,33267,47716,82394,140139,184638,197831
144157,77186,40085,39534,80415,138151,160139,164983,168784,180703,186925,175525,132199,104362,130360,167021,181979,175293,141270,102298,109446,140655,145548,128831,104080,65696,35736,27119,33017,73421,163907,196701
174398,139841,101981,99843,132053,160065,171801,176528,181375,188739,193713,190077,169191,145449,150605,169989,182244,180186,162402,138955,148577,174015,179974,173346,153756,115537,61240,28677,24522,54910,150950,195389
181111,163404,139666,139084,151660,157680,160100,166785,176731,185803,191253,188511,169417,140642,129845,150473,173238,174637,161477,140197,139918,163975,178888,183660,182050,167207,117103,57212,41163,70119,148940,191618
